,,,Date,Day of the week,Day of year,Revenue,,,,,,,,,,,
,,,1/1/2024,Monday,1,"39,842",,,,,,,,,,,"8 days in January 2024 grossed 40,000 to 45,000 in revenue"
"218,562",,,1/2/2024,Tuesday,2,"45,977",,,,,,,,,,,
,,,1/3/2024,Wednesday,3,"46,985",,,,,,,,,,,
,,,1/4/2024,Thursday,4,"43,381",,,,,,,,,,,
,,,1/5/2024,Friday,5,"53,497",,,,,,,,,,,
,,,1/6/2024,Saturday,6,"55,296",,,,,,,,,,,
,,,1/7/2024,Sunday,7,"56,314",,,,,,,,,,,
,,,1/8/2024,Monday,8,"45,809",,,,,,,,,,,
,,,1/9/2024,Tuesday,9,"44,952",,,,,,,,,,,
,,,1/10/2024,Wednesday,10,"44,283",,,,,,,,,,,
,,,1/11/2024,Thursday,11,"43,721",,,,,,,,,,,
,,,1/12/2024,Friday,12,"46,284",,,,,,,,,,,
learn pivot tables,,,1/13/2024,Saturday,13,"47,835",,,,,,,,,,,
,,,1/14/2024,Sunday,14,"46,829",,,,,,,,,,,
,,,1/15/2024,Monday,15,"45,698",,,,,,,,,,,
,,,1/16/2024,Tuesday,16,"43,290",,,,,,,,,,,
,,,1/17/2024,Wednesday,17,"46,048",,,,,,,,,,,
,,,1/18/2024,Thursday,18,"45,639",,,,,,,,,,,
,,,1/19/2024,Friday,19,"47,025",,,,,,,,,,,
,,,1/20/2024,Saturday,20,"47,189",,,,,,,,,,,
,,,1/21/2024,Sunday,21,"46,283",,,,,,,,,,,
,,,1/22/2024,Monday,22,"43,574",,,,,,,,,,,
,,,1/23/2024,Tuesday,23,"45,729",,,,,,,,,,,
,,,1/24/2024,Wednesday,24,"42,956",,,,,,,,,,,
,,,1/25/2024,Thursday,25,"45,281",,,,,,,,,,,
,,,1/26/2024,Friday,26,"52,624",,,,,,,,,,,
,,,1/27/2024,Saturday,27,"55,017",,,,,,,,,,,
,,,1/28/2024,Sunday,28,"53,842",,,,,,,,,,,
,,,1/29/2024,Monday,29,"43,639",,,,,,,,,,,
,,,1/30/2024,Tuesday,30,"47,263",,,,,,,,,,,
,,,1/31/2024,Wednesday,31,"45,149",,,,,,,,,,,
,,,2/1/2024,Thursday,32,"41,964",,,,,,,,,,,
,,,2/2/2024,Friday,33,"50,723",,,,,,,,,,,
,,,2/3/2024,Saturday,34,"52,149",,,,,,,,,,,
,,,2/4/2024,Sunday,35,"53,082",,,,,,,,,,,
,,,2/5/2024,Monday,36,"42,675",,,,,,,,,,,
,,,2/6/2024,Tuesday,37,"43,196",,,,,,,,,,,
,,,2/7/2024,Wednesday,38,"42,574",,,,,,,,,,,
,,,2/8/2024,Thursday,39,"44,401",,,,,,,,,,,
,,,2/9/2024,Friday,40,"47,389",,,,,,,,,,,
,,,2/10/2024,Saturday,41,"51,963",,,,,,,,,,,
,,,2/11/2024,Sunday,42,"53,017",,,,,,,,,,,
,,,2/12/2024,Monday,43,"44,026",,,,,,,,,,,
,,,2/13/2024,Tuesday,44,"42,908",,,,,,,,,,,
,,,2/14/2024,Wednesday,45,"43,761",,,,,,,,,,,
,,,2/15/2024,Thursday,46,"42,586",,,,,,,,,,,
,,,2/16/2024,Friday,47,"49,469",,,,,,,,,,,
,,,2/17/2024,Saturday,48,"53,294",,,,,,,,,,,
,,,2/18/2024,Sunday,49,"54,027",,,,,,,,,,,
,,,2/19/2024,Monday,50,"43,703",,,,,,,,,,,
,,,2/20/2024,Tuesday,51,"44,467",,,,,,,,,,,
,,,2/21/2024,Wednesday,52,"42,906",,,,,,,,,,,
,,,2/22/2024,Thursday,53,"41,895",,,,,,,,,,,
,,,2/23/2024,Friday,54,"46,503",,,,,,,,,,,
,,,2/24/2024,Saturday,55,"47,981",,,,,,,,,,,
,,,2/25/2024,Sunday,56,"48,274",,,,,,,,,,,
,,,2/26/2024,Monday,57,"43,619",,,,,,,,,,,
,,,2/27/2024,Tuesday,58,"44,780",,,,,,,,,,,
,,,2/28/2024,Wednesday,59,"46,013",,,,,,,,,,,
,,,2/29/2024,Thursday,60,"43,692",,,,,,,,,,,
,,,,,,,,How much money was made on average for each day of the week in January and February?,,,,,,,,,
,,,,,,,Monday,43620.56,,,,,,,,,
,,,,,,,Tuesday,44729.11,,,,,,,,,
,,,,,,,Wednesday,44519.44,,,,,,,,,
,,,,,,,Thursday,43617.78,,,,,,,,,
,,,,,,,Friday,49189.25,,,,,,,,,
,,,,,,,Saturday,51340.5,,,,,,,,,
,,,,,,,Sunday,51458.5,,,,,,,,,
,,,,,,,,Averages for start of 2024,,,,,,,,,
,,,,,,,,Friday is the week day when consumers spend the most.,,,,,,,,,
,,,,,,,,Sunday has the most revenue of all the days of the week.,,,,,,,,,
,,,,,,,,What is the average revenue made Monday through Friday?,45135.23,,,,,,,,
,,,,,,,,What is the average revenue made on the weekends? ,51399.5,,,,,,,,
,,,,,,,,"On Average, the revenue on the weekends increases by what percentage?",12.19%,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,How many days fall into the following revenue ranges?,,What is the average revenue for Mondays in January?,Question,Answer,,,,,
,,,,,,,,0,,43712.4,What is the average revenue for the month of January in 2024?,"47,008",,,,,
,,,,,,,,1,"35,000",,What is most revenue brought in on a single day?,"56,314",,,,,
,,,,,,,,8,"40,000",,What is the least revenue brough in on a single day?,"39,842",,,,,
,,,,,,,,16,"45,000",,,,,,,,
,,,,,,,,6,"50,000",,,,,,,,
